Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Category
IR-A-U-0573,Indian Institute of Technology KharagpurMore Details,Kharagpur,West Bengal,80.46,1,78.58,79.73,91.8,71.71,75.54,Architecture
IR-A-U-0560,Indian Institute of Technology RoorkeeMore Details,Roorkee,Uttarakhand,79.75,2,81.32,85.34,87.15,70.9,56.3,Architecture
IR-A-U-0263,National Institute of Technology CalicutMore Details,Kozhikode,Kerala,69.24,3,89.7,27.93,75.96,66.96,58.79,Architecture
IR-A-U-0127,Centre for Environmental Planning and Technology UniversityMore Details,Ahmedabad,Gujarat,66.68,4,70.14,43.18,82.53,59.98,74.72,Architecture
IR-A-U-0116,School of Planning and ArchitectureMore Details,New Delhi,Delhi,65.63,5,74.58,20.51,73.47,70.15,100.0,Architecture
IR-A-U-0584,Indian Institute of Engineering Science and TechnologyMore Details,Shibpur,West Bengal,65.05,6,71.68,62.31,74.67,52.88,37.0,Architecture
IR-A-U-0626,School of Planning and ArchitectureMore Details,Bhopal,Madhya Pradesh,63.87,7,79.91,22.57,74.12,73.51,52.25,Architecture
IR-A-U-0467,National Institute of Technology TiruchirappalliMore Details,Tiruchirappalli,Tamil Nadu,60.29,8,49.63,52.1,83.9,59.37,73.03,Architecture
IR-A-U-0627,School of Planning and ArchitectureMore Details,Vijayawada,Andhra Pradesh,59.63,9,74.2,5.2,82.32,68.21,56.3,Architecture
IR-A-U-0108,Jamia Millia IslamiaMore Details,New Delhi,Delhi,56.29,10,66.06,0.67,87.09,78.6,44.47,Architecture
IR-A-C-43708,College of Engineering TrivandrumMore Details,Thiruvananthapuram,Kerala,55.75,11,57.69,25.46,92.24,54.3,37.0,Architecture
IR-A-C-46330,Manipal Academy of Higher EducationMore Details,Udupi,Karnataka,53.11,12,61.52,0.0,79.85,70.35,54.99,Architecture
IR-A-U-0202,Birla Institute of TechnologyMore Details,Ranchi,Jharkhand,52.45,13,51.76,40.71,60.95,60.59,53.64,Architecture
IR-A-C-57952,BMS College of ArhitectureMore Details,Bengaluru,Karnataka,52.18,14,63.4,0.01,77.67,57.88,54.99,Architecture
IR-A-U-0284,Maulana Azad National Institute of TechnologyMore Details,Bhopal,Madhya Pradesh,51.7,15,56.44,34.3,71.03,55.22,25.28,Architecture
IR-A-U-0496,Aligarh Muslim UniversityMore Details,Aligarh,Uttar Pradesh,51.52,16,40.68,50.18,88.25,40.73,34.91,Architecture
IR-A-C-26794,Thiagarajar College of EngineeringMore Details,Madurai,Tamil Nadu,50.3,17,47.68,24.6,78.55,51.0,54.99,Architecture
